"","Sell Order","From","Quantity","Buy Price","Net Costs","Take To","Sell Price","Net Sales","Gross Margin","Sell Taxes","Net Profit","Profit Per Item","R.O.I","Total Volume (m3)"
"","Phantasm","Jita","2","80,000,000.00","160,000,000.00","Hek","86,010,003.16","172,020,006.32","12,020,006.32","4,816,560.18","7,203,446.14","3,601,723.07","4.5%","202,000.00"
"","Standup Heavy Energy Neutralizer I","Hek","3","38,000,000.00","114,000,000.00","Jita","42,000,000.03","126,000,000.09","12,000,000.09","3,528,000.00","8,472,000.09","2,824,000.03","7.4%","24,000.00"
"","Ashimmu","Jita","1","52,990,000.00","52,990,000.00","Hek","57,000,504.05","57,000,504.05","4,010,504.05","1,596,014.11","2,414,489.94","2,414,489.94","4.6%","118,000.00"
"","Jackdaw","Jita","2","40,000,000.00","80,000,000.00","Amarr","43,400,002.00","86,800,004.00","6,800,004.00","2,430,400.11","4,369,603.89","2,184,801.94","5.5%","94,000.00"
"","Tengu Core - Obfuscation Manifold","Jita","2","22,150,001.13","44,300,002.26","Dodixie","23,841,001.01","47,682,002.02","3,381,999.76","1,335,096.06","2,046,903.70","1,023,451.85","4.6%","80.00"
"","Large Drone Mining Augmentor I","Jita","1","8,999,999.00","8,999,999.00","Rens","10,000,000.00","10,000,000.00","1,000,001.00","280,000.00","720,001.00","720,001.00","8.0%","20.00"
"","Coreli A-Type Small Remote Armor Repairer","Dodixie","1","6,000,000.00","6,000,000.00","Jita","6,781,014.11","6,781,014.11","781,014.11","189,868.40","591,145.71","591,145.71","9.9%","5.00"
"","Synthetic Aperture Ladar Receiver","Dodixie","27","1,000,000.00","27,000,000.00","Jita","1,502,266.00","40,561,182.00","13,561,182.00","1,135,713.10","12,425,468.90","460,202.55","46.0%","0.27"
"","Modal Mega Neutron Particle Accelerator I","Amarr","1","1,100,000.00","1,100,000.00","Jita","1,555,212.15","1,555,212.15","455,212.15","43,545.94","411,666.21","411,666.21","37.4%","20.00"
"","Limited Cybernetic Subprocessor - Beta","Dodixie","1","3,500,000.00","3,500,000.00","Jita","4,002,010.03","4,002,010.03","502,010.03","112,056.28","389,953.75","389,953.75","11.1%","1.00"
"","Sansha Bronze Tag","Rens","1","3,500,000.00","3,500,000.00","Jita","4,000,024.02","4,000,024.02","500,024.02","112,000.67","388,023.35","388,023.35","11.1%","0.10"
"","Limited Neural Boost - Beta","Dodixie","1","3,500,000.00","3,500,000.00","Jita","4,000,001.00","4,000,001.00","500,001.00","112,000.03","388,000.97","388,000.97","11.1%","1.00"
"","125mm Gatling AutoCannon II","Hek","1","52,500.00","52,500.00","Jita","425,556.00","425,556.00","373,056.00","11,915.57","361,140.43","361,140.43","687.9%","5.00"
"","125mm Gatling AutoCannon II","Hek","1","52,500.00","52,500.00","Amarr","409,887.82","409,887.82","357,387.82","11,476.86","345,910.96","345,910.96","658.9%","5.00"
"","Large Core Defense Field Extender I","Jita","1","8,414,998.00","8,414,998.00","Amarr","9,000,000.00","9,000,000.00","585,002.00","252,000.00","333,002.00","333,002.00","4.0%","20.00"
"","Small Focused Modulated Energy Beam I","Rens","1","600,000.10","600,000.10","Jita","949,000.05","949,000.05","348,999.95","26,572.00","322,427.95","322,427.95","53.7%","5.00"
"","Prototype 'Arbalest' Rapid Light Missile Launcher","Hek","1","4,000,000.00","4,000,000.00","Amarr","4,444,599.20","4,444,599.20","444,599.20","124,448.78","320,150.42","320,150.42","8.0%","10.00"
"","Zainou 'Deadeye' Medium Hybrid Turret MH-805","Dodixie","1","6,500,000.00","6,500,000.00","Jita","7,000,001.00","7,000,001.00","500,001.00","196,000.03","304,000.97","304,000.97","4.7%","1.00"
