"date","produced","destroyed","mining.value"
2012-06-01,2359716036244.69,970104920933.398,549440097473.859
2012-06-02,2415557999009.63,986386259025.097,716891254893.15
2012-06-03,2282229471128.01,972504769773.109,820140255927.974
2012-06-04,2277706305455.73,747399971108.152,701195402442.856
2012-06-05,2281834094868.32,764850606734.789,697888122052.713
2012-06-06,2339844947278.29,767088965681.143,705015152549.553
2012-06-07,2187164559381.84,739191536896.23,730108205626.609
2012-06-08,2224745586377.76,1132415512129.69,735937463187.976
2012-06-09,2274706621589.61,993744533403.887,818077885108.094
2012-06-10,2615884508626.89,27289146091097.4,975572959598.618
2012-06-11,2541065619287.92,4274299282654.23,776802080986.679
2012-06-12,2257059006342.69,14983385223572,720176710410.694
2012-06-13,2279152581278.34,10105515693665,691010749730.825
2012-06-14,2234495354152.33,719931312310.804,731457829866.963
2012-06-15,2168190447231.28,2692225825933.19,704055025136.294
2012-06-16,2141454056453.94,4777615345455.92,800717638468.893
2012-06-17,2496647498525.07,14890993428252.4,877765725752.726
2012-06-18,2081884743156.05,4222907436791.14,710740210711.804
2012-06-19,2473011862236.07,1589092036687.77,758146772126.326
2012-06-20,2235654970692.63,1818993284491.85,781749293834.033
2012-06-21,2432145283407.23,755008439632.995,725060202576.296
2012-06-22,2394119519029.26,737121870072.753,773375559382.915
2012-06-23,2289557272338.21,872873866280.332,971650514770.014
2012-06-24,2502501779354.95,917929058786.777,948073364202.069
2012-06-25,2190156072835.05,602858595042.978,614622866311.921
2012-06-26,2167329484770.49,639369349039.713,671957382754.309
2012-06-27,2210440822781.95,810716947240.79,707792874369.136
2012-06-28,2230631882073.93,640567880955.814,614057945568.05
2012-06-29,2275930723682.7,825933550989.432,649206979891.667
2012-06-30,2460328005252.85,837657412022.204,806314755639.457
2012-07-01,2449971654604.19,1043223015994.87,863518262700.531
2012-07-02,2052595955299.15,894898112724.125,739269301113.226
2012-07-03,2427641861753.03,913406146344.108,746459030527.947
2012-07-04,2468156781638.52,946093839943.069,773252415412.006
2012-07-05,2456730788505.75,695853078162.831,718740283841.191
2012-07-06,2225412317696.18,774959878968.405,753389003393.73
2012-07-07,2482087584791.67,1119872875620.08,872329089393.717
2012-07-08,2488361048133.96,1040071710241.23,917948352594.867
2012-07-09,2430595061792.69,843175560356.157,685010491920.401
2012-07-10,2211735585412.13,835911193141.381,759837066905.089
2012-07-11,2361647512878.96,898556031605.524,724215067963.48
2012-07-12,2289747719380.83,789840048844.291,721536936381.576
2012-07-13,2236249037257.21,783020307472.602,755360721581.794
2012-07-14,2426267079878.6,936495476789.66,880379230574.334
2012-07-15,2594843239799.67,1114988922131.41,920164018780.396
2012-07-16,2309027529023.12,737211224252.243,714364146839.524
2012-07-17,2366987645080.39,875179742341.165,770745565764.449
2012-07-18,2279532766213.84,736965220848.563,790437394644.87
2012-07-19,2268262294620.89,768693249050.628,764210029961.965
2012-07-20,2379144115906.09,750685922488.793,747309762831.55
2012-07-21,2479485763402.14,945669891233.562,858625741771.483
2012-07-22,2509620533806.76,1089845099884.79,914274018776.6
2012-07-23,2343773637845.37,880403612940.78,741866740717.555
2012-07-24,2453624696395.39,885409776769.442,778306198402.596
2012-07-25,2369345368416.11,796445541276.211,775036219253.396
2012-07-26,2566414588342.25,927387585398.302,750153170591.865
2012-07-27,2408664916243.93,756039250663.656,812226418656.664
2012-07-28,2467765598730.19,1007152366165.57,1149106120758.66
2012-07-29,2647225787926.75,1108544064095.83,1295487499471.59
2012-07-30,2345351358715.18,793998189657.829,938528653069.795
2012-07-31,2755206020224.7,794654397946.582,1086060650098.27
2012-08-01,2541464580715.2,755628102916.369,1042351015888.43
2012-08-02,2685678412241.8,844546878620.623,1187728150455.89
2012-08-03,2380592769799.54,793883178162.812,1683398300496.45
2012-08-04,2820564827626,1079752900690.61,2522011343126.19
2012-08-05,2773774109238.23,939998048678.338,2257999738257.14
2012-08-06,2836779866777.43,848264137772.184,1307957303159.9
2012-08-07,2673691153080.3,871344612515.593,1642743997083.08
2012-08-08,2470385474591.2,724083550506.605,2123707551987.56
2012-08-09,2701970160041.96,697799181913.529,2041094017205.38
2012-08-10,2580907907532.21,885463176609.924,2172330577349.75
2012-08-11,2598993079695.87,1019277430440.93,2942785799309.24
2012-08-12,2437608802781.8,1299387566477.61,3255462046835.08
2012-08-13,2419500685725.05,879465487713.38,2029695023938.69
2012-08-14,2516301884091.34,792722388037.771,3242913098641.09
2012-08-15,2602736211749.99,1245568589160.48,3030041562124.51
2012-08-16,2443441077056.04,858304579216.367,2285273754746.22
2012-08-17,2466111644155.03,804134267088.362,2121267959968.91
2012-08-18,2934106935224.27,1085345262282.33,1701664005078.27
2012-08-19,2740547642806.82,1045869867417.4,2284459565424.34
2012-08-20,2437222450027.5,815872052208.946,2202131793945.51
2012-08-21,2667347014825.72,690971587657.472,2273767892744.78
2012-08-22,2662144858773.06,825872025253.67,1424513838533.08
2012-08-23,2815231249897.74,850037975972.73,2340004965354.8
2012-08-24,2553464730319.4,829598038077.101,1818041546248.86
2012-08-25,2574600070688.53,955231089974.093,2410582533882.36
2012-08-26,2631069599934.16,1253280739378.95,2299882506125.75
2012-08-27,2481301394206.69,727627473302.988,2003695861103.16
2012-08-28,2423036541800.12,781762624573.975,1743436620034.14
2012-08-29,2434767397426.13,683170308916.084,1613278564685.91
2012-08-30,2809063557435.32,784110772853.146,1535750671491.68
2012-08-31,2489043100054.29,832215837635.437,1376936631466.11
2012-09-01,2860515466941.81,1015060688836.1,1739433813799.55
2012-09-02,2660952577808.45,951185605506.088,1494390246164.77
2012-09-03,2570011727516.44,810597557055.47,1291937344676.47
2012-09-04,2789134041666.42,673857448838.881,1133470654111.16
2012-09-05,2623915967679.29,717037269799.671,1334608535362.19
2012-09-06,3046494108540.39,618220192072.982,1336417995642.91
2012-09-07,3469063633165.93,696259989705.791,1000434470491.04
2012-09-08,2310334134946.4,928364586983.774,1044246577346.69
2012-09-09,2453713023753.39,1353386990696.08,1107379991880.79
2012-09-10,2369156943128.02,695252550609.144,852558119074.681
2012-09-11,2258676921391.53,804671747938.478,896012194449.399
2012-09-12,2404479438462.9,725317625416.196,930778055689.845
2012-09-13,2521782564908.64,695455046957.658,925626575456.829
2012-09-14,2434502584538.86,832014193880.713,915573496761.071
2012-09-15,2649137806021.5,1241763837971.35,948482483305.362
2012-09-16,2478810269606.43,1106862557949.09,1066704705115.43
2012-09-17,2523179394611.66,693432613310.884,831652118907.039
2012-09-18,2360447545140.24,704238035922.637,1048353242372.7
2012-09-19,2438816621304.96,650137281309.443,917658957550.249
2012-09-20,2223457231281.67,827884468252.658,956415956420.779
2012-09-21,2400164473255.22,833834766982.753,791311055765.106
2012-09-22,2585850302341.76,866227264153.46,889688602433.843
2012-09-23,2685990407384.16,1060720215674.84,1123766831712.91
2012-09-24,2501078965357.65,689198672324.066,863139453705.354
2012-09-25,2275309969754.77,665111831650.118,835460214822.517
2012-09-26,2680735059073.26,841028707775.947,752166124443.853
2012-09-27,2464550759594.03,746160453760.446,814541086085.851
2012-09-28,2262731436688.55,703246849603.986,734350600609.443
2012-09-29,2763114834090.58,1002018511150.94,883383648192.164
2012-09-30,2476160551037.33,1045552504059.75,1000863904716.98
2012-10-01,2289966625043.53,708562438663.687,715620707819.175
2012-10-02,2440246098455.61,846513467927.25,1090899814975.96
2012-10-03,2224860370604.84,798513269746.639,809992426081.207
2012-10-04,2410895731321.49,739710914942.241,777793196853.769
2012-10-05,2266732103888.32,887283108378.361,742572294738.979
2012-10-06,2305734460408.08,1130907556703.55,1012875754386.65
2012-10-07,2769704906649.12,1239174025493.31,994546650815.892
2012-10-08,2582932667073.66,774750364225.405,798367859776.768
2012-10-09,2357730332492.98,770516303709.191,980468770751.501
2012-10-10,2428324964791.06,931194362561.726,825265926511.412
2012-10-11,2634668067007.15,763109907749.725,756512212550.658
2012-10-12,2453467155744.37,854132740150.902,907484887436.351
2012-10-13,2664729969632.35,1054592886362.3,1028522633412.32
2012-10-14,2549646535972.94,1035408851297.48,1134788877113.66
2012-10-15,2597889197450.08,881547018873.14,890071211499.542
2012-10-16,2406775420279.24,625165549827.353,612361548778.642
2012-10-17,2329752319949.51,753317916637.487,893007236109.323
2012-10-18,2312753138450.3,656589717000.778,971242730375.409
2012-10-19,2575430578799.77,705751620215.704,764386655168.921
2012-10-20,2421664884477.95,1042364348844.48,997908298036.592
2012-10-21,2242932427016.54,1116742386630.53,1085031041763.8
2012-10-22,2504269413440.94,1204368843255.29,914140123738.047
2012-10-23,2404692213983.96,728600247621.904,913011281392.947
2012-10-24,2394761108902.45,731310595232.265,877598955174.786
2012-10-25,2296599177360.73,760927158030.633,901623946746.123
2012-10-26,2421959085275.99,958740018146.242,809651215308.498
2012-10-27,2422419844841.53,1153860323463.48,1068215579233.36
2012-10-28,2885301659814.52,1162138170226.41,1156135881037.19
2012-10-29,2677501387761.48,788238526140.511,837907368930.307
2012-10-30,2555602883390.11,913033336185.838,824182738851.505
2012-10-31,2288739812187.57,937195721865.915,898233023912.133
2012-11-01,2313639000427.34,886463594907.062,981150168437.84
2012-11-02,2329526221390.04,887441586865.396,887239459846.071
2012-11-03,2506109792027.82,1184075863283.07,1027046580132.44
2012-11-04,2486753218119.25,1251001947954.56,953214100708.363
2012-11-05,2518003268164.4,794539450805.689,857377731090.88
2012-11-06,2444040871933.3,812831521873.67,898155920478.991
2012-11-07,2406350521380.45,719233242788.226,945209173213.068
2012-11-08,2443105751900.56,835330481433.647,506568114844.326
2012-11-09,2646602975004.73,858548327759.444,781969904894.275
2012-11-10,2453876590104.77,1220222881525.37,917097671200.337
2012-11-11,2513723235903.18,1288289986546.45,981379088329.488
2012-11-12,2471973726304.32,864670711002.876,776233122705.646
2012-11-13,2464075727085.77,739446967667.988,791055998890.234
2012-11-14,2363699701389.03,730387967636.865,820819370413.396
2012-11-15,2383015230070.41,689786008554.429,836854707715.021
2012-11-16,2349387719620.79,784481336620.572,784553874654.843
2012-11-17,2466410604169.94,1161300253508.36,37716581652.7647
2012-11-18,2825742991680.93,1087250576484.84,991581800203.222
2012-11-19,2330175046601.95,841244469608.533,776155477587.351
2012-11-20,2496072815415.62,834977322629.462,798054007655.715
2012-11-21,2473520753097.32,721015567268.999,840392843990.83
2012-11-22,2439114423960.87,969325330742.297,820829322436.779
2012-11-23,2308652901760.71,889556205740.975,814124943111.976
2012-11-24,2666191341069.17,1015102879454.27,937835626168.955
2012-11-25,2589080836157.52,1205023015185.31,975233146998.737
2012-11-26,2467405090456.83,690609008061.046,758224493750.848
2012-11-27,2590519388811.87,724470532826.002,807085115332.086
2012-11-28,2624031322209.63,711058553231.043,822059397601.08
2012-11-29,2352828175189.76,798956621340.05,817918428199.606
2012-11-30,2559093191874.44,799956051077.684,812325837229.302
2012-12-01,2592606137267.81,1054245554545.42,977473366514.648
2012-12-02,2810399932257.26,1178237288216.1,1056101627873.44
2012-12-03,2612927224379.68,755782117395.096,812364619073.295
2012-12-04,2871526016954.87,764038828202.614,591003624308.688
2012-12-05,3399880381206.64,900103541678.405,760493231818.503
2012-12-06,2865243580984.81,1098108164787.01,848017323071.92
2012-12-07,2855995703969.09,1643633130054.01,829670512448.953
2012-12-08,2761485365472.49,1320380307503.15,1027768660329.15
2012-12-09,2741023753770.88,1504435480833.83,1143956246314.97
2012-12-10,2972610853106.83,1014896126334.8,842327605323.039
2012-12-11,2422008211762.59,954389956080.695,888393927666.767
2012-12-12,2474733627982.95,905050182127.367,939899095706.11
2012-12-13,2687217062770.08,896273906813.104,953674451193.831
2012-12-14,2757229004391.79,967893093753.972,888382533007.451
2012-12-15,2944813044316.28,1281942756500.79,1043516777948.48
2012-12-16,2905374025081.88,1480899011574.42,1129590897654.55
2012-12-17,2647852837653.42,875655761299.662,860183768033.937
2012-12-18,2518681705666.83,896559270359.462,920682620153.118
2012-12-19,2735170410526.42,765412102805.072,1002722003033.43
2012-12-20,2577927442120.74,882906186781.501,945401695159.211
2012-12-21,2692409517666.15,925973667168.985,907214136747.346
2012-12-22,2774477137445.51,1063176477503.95,1070758339887.36
2012-12-23,2946957863679.63,1133188593136.3,1152102607050.87
2012-12-24,2739315894041.48,718726705137.488,853322020942.778
2012-12-25,2624763938191.15,684371139350.206,882995617621.45
2012-12-26,2569542791231.93,853775515913.236,1035165476762.93
2012-12-27,2740408249011.84,897988663493.417,1146541563121.28
2012-12-28,2846990565531.01,1030561167816.52,1029007802111.54
2012-12-29,2860344721881.8,1038554374723.04,1140386127586.83
2012-12-30,3075556353756.65,1208423345716.11,1236838217882.62
2012-12-31,2825731576157.47,751929955149.542,892652655345.183
2013-01-01,3160336241773.5,927808539889.503,1047043514597.83
2013-01-02,3453926246455.26,1472447707955.76,1106561533789.95
2013-01-03,3019385694239.15,952225810261.062,1133454814166.83
2013-01-04,2998723964063.6,1171007208306.34,1059373735034.52
2013-01-05,3201948222012.41,1321299314344.38,1232361432922.93
2013-01-06,2855209484823.37,1330500908724.45,1240394213751.35
2013-01-07,3143692858750.86,1052290171086.15,987311855713.63
2013-01-08,2955886197106.09,966989022149.892,1033324942284.34
2013-01-09,2899208512450.14,931486500163.586,1083072521289.46
2013-01-10,2869200350464.54,839540551372.523,892423046194.68
2013-01-11,3073289057105.37,977988126588.063,1044941805536.87
2013-01-12,3199430130604.47,1306675497925.56,1307500068966.11
2013-01-13,3132904166494.43,1497215715900.34,1328800307038.43
2013-01-14,3048012855069.05,916532938370.684,1029880893468.39
2013-01-15,2958728629645.7,865968984431.434,1062599444632.26
2013-01-16,2945190213224.11,849595155160.071,1162620545577.38
2013-01-17,2933670758489.2,948846443284.341,1149894651458.82
2013-01-18,2968444976064.78,1014943382408.49,1035747722199.58
2013-01-19,3040292918500.05,1171351233244.47,1275432051411.08
2013-01-20,3261109208074.82,1446594788581.06,1412774126863
2013-01-21,3048888653362.85,1059769363270.12,1111491082411.84
2013-01-22,2925176321265.64,989724688604.116,1083929774549.83
2013-01-23,3054287962828.54,874917323151.001,1137758884629.82
2013-01-24,2961213215330.14,1010355851790.96,1165116811735.96
2013-01-25,3166348531841.43,925700079654.553,1054019997510
2013-01-26,3283692467856.9,1435784097196.82,1213846383766.88
2013-01-27,3357234704549.64,2110855269675.07,1311494588958.06
2013-01-28,3338078918458.75,885952010137.316,999572398205.086
2013-01-29,3182006980846.1,840787903078.627,1040249590217.59
2013-01-30,3643380587228.17,889132111887.919,1112141926286.57
2013-01-31,3144399145552.1,975988762004.221,1064574313986.32
2013-02-01,3144592288157.76,1050403064368.55,1022630348305.38
2013-02-02,3162402555192.69,1321884645916.59,1221675803474.36
2013-02-03,3164323207194,1416638364744.93,1350418277607.36
2013-02-04,3044803813181.52,959344774379.059,937902715366.367
2013-02-05,2949229643951.57,980622276354.31,1056671798727.5
2013-02-06,3314408916666.09,944998290253.206,1106759442045.13
2013-02-07,3004890424643.27,1009381971110.7,1127542390913.75
2013-02-08,3142322143957,991947611564.692,1077150844950.77
2013-02-09,2980313387094.07,1470088359278.47,1258263665379.56
2013-02-10,3534561279651.6,1586143625163.53,1301983472528.77
2013-02-11,3466388098916.85,990179638961.39,950299606851.094
2013-02-12,3335613163930.57,949981947733.545,1052906874174.97
2013-02-13,3290768786491.21,799819712607.455,1073902481799.25
2013-02-14,3161820985912.94,791703928305.606,1097689158757.3
2013-02-15,3043546512792.2,1020534764545.78,1065828511855.6
2013-02-16,3287558908276.99,1405545779098.72,1313885529552.16
2013-02-17,3396948663050.32,1439370478795.1,1407179342078.99
2013-02-18,3249151117002.85,962000683539.635,1040421851814.17
2013-02-19,3341393349487.95,950885604008.858,894865428743.88
2013-02-20,3482798092846.39,1055408587139.36,995647044025.57
2013-02-21,3068886279368.66,1117957174312.79,1086650112687.43
2013-02-22,3176335682145.3,910826391435.232,964439912026.492
2013-02-23,3496819703175.59,1386043617655.21,1161568812121.04
2013-02-24,3655566374372.39,1421081854438.7,1252691536527.85
2013-02-25,3293266013961.24,1164930382610.85,897142722687.368
2013-02-26,3160978447397.16,851238443968.02,991896592817.855
2013-02-27,3421054300244.78,909102930888.026,1029411901804.18
2013-02-28,3303627340314.09,976041949444.426,1045707731038.41
2013-03-01,3419657178350.62,941978133689.457,934750796035.603
2013-03-02,3351847483933.12,1356356221889.89,1150098314005.63
2013-03-03,3289955984715.07,1416085157798.02,1314045945202.67
2013-03-04,3119089589161.14,968834663089.426,886353652017.172
2013-03-05,3390783624963.58,817830840565.532,954717359156.992
2013-03-06,2969810265134.98,907956555977.632,1033388386652.6
2013-03-07,3229106282655.92,891253646757.902,1031919412985.66
2013-03-08,3122924416850.98,1000200554777.09,948416767415.397
2013-03-09,3103115619019.22,1305599878362.96,1092562597903.99
2013-03-10,3178948981277.13,1277846655828.28,1177947648272.65
2013-03-11,3026921775023.53,987462574371.924,867724542699.27
2013-03-12,3190844816916.76,885467835246.344,930348084351.445
2013-03-13,2908968580823.39,838728841607.362,1006495471408.58
2013-03-14,3203290704149.91,842050775068.8,994664500260.99
2013-03-15,3080763944595.85,936331701437.54,888751275803.087
2013-03-16,3322618707903.06,1162006180005.73,1086816296109.11
2013-03-17,3183160271338.27,1333202045687.37,1120655507216.96
2013-03-18,2978406301400.53,916304516705.124,875130464237.674
2013-03-19,3002642025462.89,851407517741.725,941247900213.431
2013-03-20,2898066169356.88,859389171138.724,951686570382.404
2013-03-21,3041668056526.31,964791045848.338,964313213503
2013-03-22,3007900741378.84,1403945547314.27,863988121122.734
2013-03-23,2982752934232.34,1377132536423.51,1069223368849.7
2013-03-24,3301201063381.53,1497847191703.67,1153286945127.21
2013-03-25,3160289278162.81,1087825777906.91,849266669655.89
2013-03-26,2988748893227.25,975725015443.92,888382741654.001
2013-03-27,3086255520869.53,1091876567611.29,978450292029.579
2013-03-28,3055386447308.97,957208714086.156,976402560358.064
2013-03-29,3071651669924.79,1116483850592.64,970020956148.841
2013-03-30,3208708492559.34,1254648022064.34,1035770486661.88
2013-03-31,3308539026404.39,1301604647670.28,1064078356819
2013-04-01,3121921100904.22,1072663985755.74,900687141929.469
2013-04-02,2896167489049.74,940939368553.135,821528412966.866
2013-04-03,2915719047427.88,793008754400.994,947270408522.05
2013-04-04,2953428207639.1,834193160256.906,949652936211.911
2013-04-05,3167656348434.07,892617335747.649,885951518819.878
2013-04-06,2934817653061.26,1279654378449.06,1049310761583.23
2013-04-07,3200942012532.21,1334792603634.9,1105573692458.52
2013-04-08,3129235722069.39,860158768653.916,818244867007.37
2013-04-09,2944471430928,751357564795.202,888212907395.325
2013-04-10,2930556294909.26,991476855219.923,954862534186.226
2013-04-11,2817448238877.55,893494544443.839,951323534038.01
2013-04-12,2959058355189.71,980148265290.161,876993183068.514
2013-04-13,3229907324758.44,1349219011400.91,1041831156522.64
2013-04-14,3143744153163.51,1372860227955.91,1077416494029.09
2013-04-15,3035019416431.82,901864951973.308,834593939477.287
2013-04-16,2878070289389.16,940350917835.049,880265026647.767
2013-04-17,2812082564107.36,842004906639.189,924946448407.07
2013-04-18,2662851689321.48,856291347491.673,907881595422.293
2013-04-19,2731636072975.37,1083753176877.57,842487552959.111
2013-04-20,2787194305985.62,1458847518935.8,1023742563919.9
2013-04-21,2471871705615.8,1507761355398.66,1075030245253.07
2013-04-22,2596266836274.2,805579196484.26,815267910480.51
2013-04-23,2450348671729.83,783533993354.613,857846748135.919
2013-04-24,2639715826321.69,776852058650.94,906504630328.152
2013-04-25,2567707423780.82,721864609602.969,896491854634.803
2013-04-26,2646354349103.98,796173438225.206,839677954619.668
2013-04-27,2686405934770.32,1143039436591.94,1189931927516.62
2013-04-28,3192258003925.84,1265295512270.07,1201231822716.89
2013-04-29,2994466265973.74,944423021037.744,981333310757.063
2013-04-30,2810901512749.54,1037821495532.89,1041081809348.66
2013-05-01,3130493227824.11,916537335779.396,1199247482012.33
2013-05-22,2804910739253.05,902861617608.603,1278794179249.71
2013-05-23,2823587116924.93,1063514533263.52,1255602532777.11
2013-05-24,2898749807915.31,1117501526054.07,1251125198759.57
2013-05-25,2858165200730.95,1285316493251.97,1452058321488.95
2013-05-26,2932294211746.19,1428618419596.3,1570128147991.37
2013-05-27,2917639278818.57,1100545452547.68,1377991275243.27
2013-05-28,3137315159025.16,917956887265.219,1342084606895.04
2013-05-29,2888034271979.26,1048962287939.19,1349071766416.94
2013-05-30,3325233586542.9,953698167295.115,1377010755436.4
2013-05-31,3150467063126.5,825634391109.869,1183335984357.53
2013-06-01,3304659818089.73,1403144743344.01,1425310463090.18
2013-06-02,3112811479968.47,471290591115.074,623611256044.172
2013-06-03,2461572881635.07,709595416557.189,640662054845.613
2013-06-04,2879851919842.87,974576992260.186,831836673662.928
2013-06-05,3019180831790.46,1068093335886.5,972421494506.953
2013-06-06,2870292208099.97,970849966529.733,1010566766266.17
2013-06-07,3094099703066.97,950856136054.76,869989929714.852
2013-06-08,3263503334253.44,1256008625082.94,1039811305695.98
2013-06-09,3409732424937.96,1510558970716.73,1122551871250.72
2013-06-10,3196578443622.52,1257808983829.2,853193888899.602
2013-06-11,3281478323582.07,1071012764822.22,914700677815.387
2013-06-12,3338254149554.34,1061268549646.82,931435229387.504
2013-06-13,2992555360765.17,1064661991662.04,971923554873.847
2013-06-14,2997026038435.99,962179565184.6,868087752403.881
2013-06-15,3319889238314.06,1232972111420.93,1020427293765.79
2013-06-16,3093419327079.08,1386694561802.67,1059032453819.25
2013-06-17,3003019393984.54,1000039757376.9,869530568900.021
2013-06-18,2978362308730.79,949635758957.012,872891373114.022
2013-06-19,2894311213548.79,899159173281.811,936267232295.155
2013-06-20,2863147177570.48,922318183746.386,926984840868.348
2013-06-21,2940326021898.44,808530031343.094,848608437520.717
2013-06-22,3042015125786.7,1335502679868.38,999890611464.874
2013-06-23,2798517703909.13,1448327243017.39,1128442756083.37
2013-06-24,2872367724422.58,1026949131643.15,819939358428.343
2013-06-25,2862249407966.02,896674532222.438,874688004095.042
2013-06-26,3078414713546.97,936985871491.761,933826898388.124
2013-06-27,2872004470134.67,1027708159833.7,934570125249.895
2013-06-28,3043768127023.73,939236737302.304,851225229726.472
2013-06-29,3059242952094.24,1334686175229.67,966150743611.834
2013-06-30,3322552617601.14,1296827832310.83,1052593968597.32
2013-07-01,3204668385645.91,850986794436.207,810387863525.303
2013-07-02,2953162012538.7,801313986610.149,817629047506.73
2013-07-03,3150418956399.57,876433357434.574,669662005707.706
2013-07-04,2883467034556.98,1206471012925.12,941093954347.159
2013-07-05,2870869926205.41,981766288569.77,833542652408.499
2013-07-06,3073154211012.64,1278500717228.95,958935148137.304
2013-07-07,3128621167188.79,1214731918670.73,1038509156977.64
2013-07-08,3189234830246.69,990401113996.281,825878590505.026
2013-07-09,2772815468039.09,883086801478.022,859929795066.73
2013-07-10,2942581683548.99,861290598673.561,891416234195.692
2013-07-11,2973371964229.37,814006691876.008,888949274781.832
2013-07-12,2913004478594.19,837403263759.96,776368262943.691
2013-07-13,3023124603266.64,1116554995179.36,926434322136.294
2013-07-14,3311515693648.5,1186088119394.94,1021357376221.61
2013-07-15,2821017955709.19,823474465201.247,803794455137.939
2013-07-16,2681888786839.48,908170284471.664,844222359399.059
2013-07-17,2742543977325.39,875012655781.253,866320676848.562
2013-07-18,2866916896861.03,1079917533638.33,877700055541.835
2013-07-19,2861920823834.08,849956784933.23,830793020002.277
2013-07-20,2886740052051.88,1179431216191.4,948192059546.365
2013-07-21,2992245952126.17,1148792489284.54,1003281506317.13
2013-07-22,2722417894365.38,983884697505.513,796746304399.387
2013-07-23,2840016777136.33,832053328062.965,849926229454.039
2013-07-24,2779511838503.45,870808564272.244,885616432663.915
2013-07-25,2601583688525.72,933655598873.208,899923818263.7
2013-07-26,2790519096909.85,905886569043.387,811010121827.001
2013-07-27,2759568850295.71,1033546159056.59,950117940156.896
2013-07-28,2896540800256.13,1296851231654.14,1028400801242.22
2013-07-29,2783151170438.15,1123512708076.96,804101703310.174
2013-07-30,2707722253977.32,1064790751000.89,831339339317.489
2013-07-31,2694544214810.06,877247524153.146,839745004573.499
2013-08-01,2723044685609.47,987143230051.73,866518868753.568
2013-08-02,2765377949383.1,1003064578057.66,794387892449.017
2013-08-04,3053994471633.01,1336935249447.45,986093466257.185
2013-08-05,2844285708826.16,966551998556.287,778407904917.661
2013-08-06,2829359087666.24,912336027151.312,826030441693.865
2013-08-07,2921307007256.28,1052589843542.05,868017058563.991
2013-08-08,2953998370801.35,911093171977.012,885478077929.039
2013-08-09,3145261575981.45,862249214890.264,818432886761.284
2013-08-10,3116661972945.37,1166423062614.28,947619778371.474
